subtree,ntips,tip.label
0,2,CY103884_A/little_yellow-shouldered_bat/Guatemala/164/2009_H17N10_Sturnira_lilium-_gender_M_Guatemala-_El_Jobo_May-2009
1,2,KR077932_A/dark_fruit-eating_bat/Bolivia/PBV780-781/2011_H18N11_Artibeus_obscurus_Bolivia_09-Jun-2011
2,410,KF612934_A/herring_gull/DE/471/1986_mixed_herring_gull_USA_1986
3,201,CY122507_A/environment/Alaska/NWRC184854-12/2006_H16N3_environment_USA-_Alaska_2006
4,879,MN055195_A/chinstrap_penguin/Antarctica/HP04/2018_H11N2_Pygoscelis_antarcticus_Chile_2018
5,204,CY076021_A/American_green-winged_teal/California/44287-395/2007_H8N3_American_green-winged_teal-_gender_M_USA-_Colusa_County-_California_27-Jan-2007
6,371,OL371335_A/wild_waterbird/Queensland/10-101430-63/2010_H12N5_wild_waterbird_Australia-_Queensland_01-Jan-2010
7,8585,JQ344328_A/duck/Malaysia/91/1997_H9N2_duck_Malaysia_24-Sep-1997
8,2,MH376902_A/Bat/Egypt/381OP/2017_H9N2_Bat_Egypt_19-Mar-2017
9,2338,HM144472_A/wild_duck/Shantou/2853/2003_H6N2_wild_duck_China_2003
10,6631,GU052814_A/tern/South_Africa/1959_H5N3_tern_South_Africa_1959
11,622,MH503077_A/ruddy_turnstone/South_Carolina/UGAI17-4979/2017_H2N5_ruddy_turnstone_USA-_South_Carolina_09-Dec-2017
12,22513,LC278301_A/duck/Japan/AQ-HE103/2015-H1N2-_H1N2_Cairina_moschata_Japan_2015-09-09
13,2272,MK071348_A/cinnamon_teal/Argentina/CIP051-1588/2009_H7N9_cinnamon_teal_Argentina_May-2009
14,880,EU124207_A/Duck/Indonesia/Jakarta_Utara1631-29/2006_H10_duck_Indonesia_01-Jun-2006
15,1581,M25283__
16,33,GQ247868_A/mallard/Gurjev/263/1982_H14N5_mallard_Kazakhstan_1982
17,19338,MW264992_A/equine/China/JL126/2018_H3N8_equine_China_Mar-2018
