minlen,maxlen,nsubtrees,nlabels,mean.n.types
0.0,0.1,2474,0.9839407232875014,1.0028294260307196
0.0,0.2,970,0.9942335415665545,1.011340206185567
0.0,0.3,479,0.9976903163801523,1.0208768267223383
0.0,0.4,355,0.998403373068159,1.0338028169014084
0.0,0.5,266,0.99893041496799,1.0526315789473684
0.0,0.6,194,0.9991629334532095,1.077319587628866
0.0,0.7,154,0.9994109531707771,1.0974025974025974
0.0,0.8,100,0.9995814667266048,1.15
0.0,0.9,87,0.9995814667266048,1.1954022988505748
0.0,1.0,81,0.9996124691913008,1.2098765432098766
0.0,1.1,23,0.999984498767652,1.7391304347826086
0.0,1.2,14,1.0,2.2142857142857144
0.0,1.3,8,1.0,3.375
0.0,1.4,7,1.0,3.857142857142857
0.0,1.5,7,1.0,3.857142857142857
0.0,1.6,6,1.0,4.333333333333333
0.0,1.7,5,1.0,5.2
0.0,1.8,3,1.0,8.333333333333334
0.0,1.9,3,1.0,8.333333333333334
0.0,2.0,3,1.0,8.333333333333334
0.01,0.1,2129,0.3375858380741269,0.9976514795678723
0.01,0.2,1450,0.5113701539272372,0.9993103448275862
0.01,0.3,912,0.6312256824417541,1.0032894736842106
0.01,0.4,687,0.6759777402303483,1.0058224163027656
0.01,0.5,522,0.7622731007115066,1.0153256704980842
0.01,0.6,357,0.9580691664987366,1.0336134453781514
0.01,0.7,297,0.9647346964083645,1.0437710437710437
0.01,0.8,249,0.9658042814403746,1.0522088353413654
0.01,0.9,91,0.9893196509122475,1.1758241758241759
0.01,1.0,85,0.9893816558416394,1.188235294117647
0.01,1.1,47,0.9995814667266048,1.3617021276595744
0.01,1.2,14,1.0,2.2142857142857144
0.01,1.3,8,1.0,3.375
0.01,1.4,7,1.0,3.857142857142857
0.01,1.5,7,1.0,3.857142857142857
0.01,1.6,6,1.0,4.333333333333333
0.01,1.7,5,1.0,5.2
0.01,1.8,3,1.0,8.333333333333334
0.01,1.9,3,1.0,8.333333333333334
0.01,2.0,3,1.0,8.333333333333334
0.02,0.1,960,0.13842600486738696,0.99375
0.02,0.2,759,0.26786129497295036,0.994729907773386
0.02,0.3,586,0.4054812357582428,1.0017064846416381
0.02,0.4,494,0.4306862395560447,1.008097165991903
0.02,0.5,415,0.5374122242718297,1.0192771084337349
0.02,0.6,359,0.7429895676706298,1.0306406685236769
0.02,0.7,269,0.8896157244500937,1.0483271375464684
0.02,0.8,182,0.9001410612143665,1.065934065934066
0.02,0.9,133,0.9296244051402086,1.112781954887218
0.02,1.0,51,0.9754150454961169,1.3333333333333333
0.02,1.1,30,0.9947605834663856,1.5666666666666667
0.02,1.2,14,1.0,2.2142857142857144
0.02,1.3,8,1.0,3.375
0.02,1.4,7,1.0,3.857142857142857
0.02,1.5,7,1.0,3.857142857142857
0.02,1.6,6,1.0,4.333333333333333
0.02,1.7,5,1.0,5.2
0.02,1.8,3,1.0,8.333333333333334
0.02,1.9,3,1.0,8.333333333333334
0.02,2.0,3,1.0,8.333333333333334
0.03,0.1,501,0.07567701632279766,0.9960079840319361
0.03,0.2,452,0.1857202647610485,1.0
0.03,0.3,393,0.27830912557548326,1.0101781170483461
